District,Sub-District,Estate,Link
Tuen Mun,Tuen Mun San Hui,(Tuen Mun San Hui) Mount ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-San-Hui/building-group(Tuen%20Mun%20San%20Hui)%20Mount%20Regency%20%7C%20T%20Plus%20(King%20Sau%20Lane%20%7C%20Tsing%20Min%20Path%202000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=TM0200
Tuen Mun,Sam Shing,(Sam Shing) Sam Shing Est...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Sam%20Shing%20Estate%20-%20Chun%20Yu%20House%20(Sam%20Shing%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0001
Tuen Mun,Sam Shing,(Sam Shing) Tsing Ha Lane...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Tsing%20Ha%20Lane%20%7C%20Tsing%20Yung%20Street%20%7C%20Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%201970's-1980's%20residential%20buildings?field=t_pop&sort=default&detailcode=TM0003
Tuen Mun,Sam Shing,(Sam Shing) Tsing Ha Lane...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Tsing%20Ha%20Lane%20%7C%20Tsing%20Yung%20Street%20%7C%20Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%201990's-2000's%20residential%20buildings?field=t_pop&sort=default&detailcode=TM0004
Tuen Mun,Sam Shing,(Sam Shing) Seaview Garde...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Seaview%20Garden%20(Tsing%20Yung%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0005
Tuen Mun,Sam Shing,(Sam Shing) Sam Shing Est...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Sam%20Shing%20Estate%20-%20Moon%20Yu%20House%20(Sam%20Shing%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0201
Tuen Mun,Sam Shing,(Sam Shing) Sam Shing Est...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Sam-Shing/building-group(Sam%20Shing)%20Sam%20Shing%20Estate%20-%20Fung%20Yu%20House%20(Sam%20Shing%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0202
Tuen Mun,Chi Lok,(Chi Lok) Alpine Garden /...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Alpine%20Garden%20%7C%20Kam%20Fai%20Garden%20(Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%20%7C%20Wah%20Fat%20Street%201980's-1990's)?field=t_pop&sort=default&detailcode=TM0182
Tuen Mun,Chi Lok,(Chi Lok) Hong Kong Garde...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Hong%20Kong%20Garden%20%7C%20Rainbow%20Garden%20%7C%20JC%20Place%20(Tsing%20Sin%20Street%20%7C%20Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%201980's)?field=t_pop&sort=default&detailcode=TM0183
Tuen Mun,Chi Lok,(Chi Lok) Hoi Tak Gardens...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Hoi%20Tak%20Gardens%20%7C%20Harvest%20Garden%20(Wing%20Fat%20Lane%201980's-1990's)?field=t_pop&sort=default&detailcode=TM0184
Tuen Mun,Chi Lok,(Chi Lok) Man Bo Building...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Man%20Bo%20Building%20%7C%20Tuen%20Mun%20Fa%20Yuen%20%7C%20Tuen%20King%20Building%20%7C%20Lee%20Bo%20Building%20%7C%20Lai%20Bo%20Building%20(Tsing%20Hoi%20Circuit%20%7C%20Tsing%20Ho%20Square%201980's)?field=t_pop&sort=default&detailcode=TM0185
Tuen Mun,Chi Lok,(Chi Lok) Chi Lok Fa Yuen...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Chi%20Lok%20Fa%20Yuen%20(Tsing%20Hoi%20Circuit%201980's)?field=t_pop&sort=default&detailcode=TM0186
Tuen Mun,Chi Lok,(Chi Lok) Kai Hei Land Bu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Kai%20Hei%20Land%20Building%20%7C%20Come%20On%20Building%20%7C%20Wah%20Lok%20Mansion%20(Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%20%7C%20Tsing%20Shan%20Square%201980's)?field=t_pop&sort=default&detailcode=TM0187
Tuen Mun,Chi Lok,(Chi Lok) Handsome Court ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Chi-Lok/building-group(Chi%20Lok)%20Handsome%20Court%20(Castle%20Peak%20Road%20-%20Castle%20Peak%20Bay%201990's)?field=t_pop&sort=default&detailcode=TM0188
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Tu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Tuen%20Mun%20Town%20Centre%20%7CTuen%20Mun%20South%20%7C%20Tuen%20Mun%20North%20%7C%20Tuen%20Mun%20San%20Hui%20%7C%20Siu%20Hong%20%7C%20Hung%20Shui%20Kiu%20S%20New%20Development%20Area%20%7C%20Chi%20Lok%20%7C%20Tuen%20Mun%20Ferry%20Pier%20%7C%20Siu%20Lam%20%7C%20So%20Kwun%20Wat%20%7C%20Lung%20Kwu%20Tan%20other%20buildings?field=t_pop&sort=default&detailcode=TM0105
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Ya...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Yan%20Ching%20Street%20%7C%20Lee%20Fat%20Path%20%7C%20Kai%20Man%20Path%20%7C%20Tuen%20Mun%20Heung%20Sze%20Wui%20Road%20%7C%20Tak%20Ching%20Court%20%7C%20San%20Tsing%20Street%20%7C%20Ming%20Ngai%20Street%20%7C%20Ho%20Pong%20Street%20%7C%20Luk%20Yuen%20Street%201960's-1970's%20residential%20buildings?field=t_pop&sort=default&detailcode=TM0107
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Tu...,"https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Tuen%20Mun%20Town%20Plaza%20Block%201-2,%208%20(Tuen%20Lung%20Street%20%7C%20Tuen%20Yan%20Street%201980's-1990's)?field=t_pop&sort=default&detailcode=TM0108"
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Tu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Tuen%20Mun%20Town%20Plaza%20Block%203-7%20(Tuen%20Lung%20Street%20%7C%20Tuen%20Yan%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0109
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Vi...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Villa%20Tiara%20(Tuen%20Hing%20Road%201990's)?field=t_pop&sort=default&detailcode=TM0111
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Th...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20The%20Trend%20Plaza%20(Tuen%20Lung%20Street%20%7C%20Tuen%20Hop%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0112
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Wa...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Waldorf%20Garden%20(Tuen%20Lee%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0113
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) El...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Eldo%20Court%20(Ho%20Pong%20Street%20%7C%20Tuen%20Mun%20Heung%20Sze%20Wui%20Road%20%7C%20San%20Tsing%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0114
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Ne...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20New%20Town%20Mansion%20%7C%20Kam%20Wah%20Garden%20(Tuen%20Lee%20Street%20%7C%20Tuen%20Lung%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0115
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Ce...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Century%20Gateway%20(Phase%201)%20Tower%201-5%20(Tuen%20Mun%20Heung%20Sze%20Wui%20Road%202000's)?field=t_pop&sort=default&detailcode=TM0116
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Ce...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Century%20Gateway%20(Phase%202)%20Tower%206-8%20(Tuen%20Mun%20Heung%20Sze%20Wui%20Road%202000's)?field=t_pop&sort=default&detailcode=TM0117
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Tu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Tuen%20Mun%20Heung%20Sze%20Wui%20Road%20%7C%20Tak%20Ching%20Court%20%7C%20Kai%20Fat%20Path%20%7C%20Yuk%20Hong%20Street%201990's-2000's%20residential%20buildings?field=t_pop&sort=default&detailcode=TM0216
Tuen Mun,Tuen Mun Town Centre,(Tuen Mun Town Centre) Tu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Town-Centre/building-group(Tuen%20Mun%20Town%20Centre)%20Tuen%20Mun%20Heung%20Sze%20Wui%20Road%20%7C%20Kai%20Man%20Path%20%7C%20Yan%20Ching%20Street%201980's%20residential%20buildings?field=t_pop&sort=default&detailcode=TM0217
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Siu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Siu%20Shan%20Court%20%20(Wu%20Shan%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0130
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Siu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Siu%20Hei%20Court%20-%20On%20Hei%20%7C%20Wan%20Hei%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0131
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Siu...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Siu%20Hei%20Court%20-%20Shun%20Hei%20%7C%20Nga%20Hei%20%7C%20Lok%20Hei%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0132
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mel...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Melody%20Garden%20Block%201-3%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0133
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mel...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Melody%20Garden%20Block%204-6%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0134
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mel...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Melody%20Garden%20Block%207-10%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0135
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Yue...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Yuet%20Wu%20Villa%20Block%201-3%20(Wu%20Sau%20Street%201990's)?field=t_pop&sort=default&detailcode=TM0136
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Yue...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Yuet%20Wu%20Villa%20Block%2010-12%20(Wu%20Sau%20Street%201990's)?field=t_pop&sort=default&detailcode=TM0137
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Yue...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Yuet%20Wu%20Villa%20Block%2013-15%20%7C%202Gether%20(Wu%20Sau%20Street%20%7C%20Wu%20On%20Street%201990-2000's%20residential%20buildings)?field=t_pop&sort=default&detailcode=TM0138
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Yue...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Yuet%20Wu%20Villa%20Block%204-6%20(Wu%20Sau%20Street%201990's)?field=t_pop&sort=default&detailcode=TM0139
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Yue...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Yuet%20Wu%20Villa%20Block%207-9%20(Wu%20Sau%20Street%201990's)?field=t_pop&sort=default&detailcode=TM0140
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Pie...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Pierhead%20Garden%20Block%201-3%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0141
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Pie...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Pierhead%20Garden%20Block%204-6%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0142
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Ric...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Richland%20Garden%20(Wu%20Chui%20Road%201990's)?field=t_pop&sort=default&detailcode=TM0143
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Yuet%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0144
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Kwong%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0145
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Boon%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0146
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Fai%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0147
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Pik%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0148
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Wu ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Wu%20King%20Estate%20-%20Wu%20Tsui%20House%20(Wu%20Fai%20Street%201980's)?field=t_pop&sort=default&detailcode=TM0149
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mar...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Marina%20Garden%20(Wu%20Chui%20Road%201990's)?field=t_pop&sort=default&detailcode=TM0150
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Sum%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0151
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Ling%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0152
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Yee%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0153
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Chui%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0154
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Mo%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0155
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) But...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Butterfly%20Estate%20-%20Tip%20Ying%20House%20(Wu%20Chui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0156
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mia...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Miami%20Beach%20Towers%20Tower%201-3%20(Wu%20Chui%20Road%201990's)?field=t_pop&sort=default&detailcode=TM0157
Tuen Mun,Tuen Mun Ferry Pier,(Tuen Mun Ferry Pier) Mia...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-Ferry-Pier/building-group(Tuen%20Mun%20Ferry%20Pier)%20Miami%20Beach%20Towers%20Tower%204-6%20(Wu%20Chui%20Road%201990's)?field=t_pop&sort=default&detailcode=TM0158
Tuen Mun,Lung Kwu Tan,(Lung Kwu Tan) village ho...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Lung-Kwu-Tan/building-group(Lung%20Kwu%20Tan)%20village%20houses?field=t_pop&sort=default&detailcode=TM0189
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Low-den...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Low-density%20residential%20buildings%20%7C%20village%20houses%20%7C%20villas?field=t_pop&sort=default&detailcode=TM0065
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Ming%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0066
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Shun%20House%20(Oi%20Lai%20Lane1980's)?field=t_pop&sort=default&detailcode=TM0067
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Lim%20%7C%20Oi%20Yung%20House%20(Tuen%20Mun%20Heung%20Sze%20Wui%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0068
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Chi%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0069
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Fai%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0071
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Yee%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0072
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Tak%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0073
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Lok%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0074
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Lai%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0075
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Yau Oi ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Yau%20Oi%20Estate%20-%20Oi%20Hei%20House%20(Yau%20Oi%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0076
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Siu On ...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Siu%20On%20Court%20(Tuen%20Hing%20Road%201980's)?field=t_pop&sort=default&detailcode=TM0077
Tuen Mun,Tuen Mun South,(Tuen Mun (South)) Siu Lun...,https://hkdata.centanet.com/BigData/hong-kong/Tuen%20Mun/CHMA/Tuen-Mun-South/building-group(Tuen%20Mun%20(South))%20Siu%20Lun%20Court%20-%20Wah%20Lun%20%7C%20Fai%20Lun%20%7C%20Yuk%20Lun%20House%20(Siu%20Hing%20Lane%201990's)?field=t_pop&sort=default&detailcode=TM0078
