District,Sub-District,Estate,Link
Central and Western,Sai Ying Pun,(Sai Ying Pun) Kwan Yick ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Kwan%20Yick%20Building%20Phase%20III%20(Des%20Voeux%20Road%20West%20-%20Sai%20Ying%20Pun%20Section%201970's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0097
Central and Western,Sai Ying Pun,(Sai Ying Pun) Connaught ...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Connaught%20Garden%20(Connaught%20Road%20West%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0098
Central and Western,Sai Ying Pun,(Sai Ying Pun) 1980-1990'...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%201980-1990's%20private%20residential%20buildings%20with%20more%20than%209%20storeys?field=t_pop&sort=default&detailcode=CW0099
Central and Western,Sai Ying Pun,(Sai Ying Pun) North of Q...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20North%20of%20Queen's%20Road%20West%201970-1990's%20private%20residential%20buildings%20with%20less%20than%208%20storeys?field=t_pop&sort=default&detailcode=CW0101
Central and Western,Sai Ying Pun,(Sai Ying Pun) First Stre...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20First%20Street%20%7C%20Second%20Street%20%7C%20Third%20Street%20%7C%20High%20Street%20%7C%20Eastern%20Street%20%7C%20Western%20Street%20%7C%20Centre%20Street%20%7C%20Yu%20Lok%20Lane%20%7C%20Tak%20Sing%20Lane%20%7C%20Ying%20Wa%20Terrace%20Pre-war%20to%201960's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0103
Central and Western,Sai Ying Pun,(Sai YIng Pun) Elegant Ga...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20YIng%20Pun)%20Elegant%20Garden%20%7C%20Wah%20Ming%20Centre%20(Queen's%20Road%20West%20%7C%20Des%20Voeux%20Road%20West%201980's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0105
Central and Western,Sai Ying Pun,(Sai Ying Pun) Queen's Ro...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Queen's%20Road%20West%20-%20Sai%20Ying%20Pun%20Section%201990%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0106
Central and Western,Sai Ying Pun,(Sai Ying Pun) Kwong Fung...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Kwong%20Fung%20Terrace%20%7C%20Yuk%20Ming%20Towers%20%7C%20Grand%20Scholar%20(Third%20Street%201990-2000's%20private%20residential%20buildings)?field=t_pop&sort=default&detailcode=CW0107
Central and Western,Sai Ying Pun,(Sai Ying Pun) 1970's pri...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%201970's%20private%20residential%20buildings?field=t_pop&sort=default&detailcode=CW0108
Central and Western,Sai Ying Pun,(Sai Ying Pun) Second Str...,https://hkdata.centanet.com/BigData/hong-kong/Central%20and%20Western/CHMA/Sai-Ying-Pun/building-group(Sai%20Ying%20Pun)%20Second%20Street%20%7C%20Third%20Street%201980's%20private%20residential%20buildings%20with%20more%20than%209%20storeys?field=t_pop&sort=default&detailcode=CW0109
