Series,Variable,Model,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Primary energy,Coal,REMIND-MAgPIE,Low Demand,EJ/yr,0.243,0.193,0.145,0.123,0.109,0.085,0.083
Primary energy,Coal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,0.242,0.192,0.172,0.163,0.149,0.139,0.139
Primary energy,Coal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,0.248,0.19,0.14,0.124,0.108,0.08,0.076
Final energy,Electricity,GCAM,Below 2°C,EJ/yr,0.183,0.214,0.243,0.27,0.296,0.323,0.344
Final energy,Electricity,GCAM,Current Policies (Hot house world scenario),EJ/yr,0.174,0.202,0.229,0.255,0.278,0.302,0.322
Final energy,Electricity,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,0.173,0.2,0.226,0.265,0.289,0.313,0.332
Final energy,Electricity,GCAM,Fragmented World,EJ/yr,0.176,0.204,0.232,0.257,0.279,0.302,0.324
Final energy,Electricity,GCAM,Low Demand,EJ/yr,0.188,0.22,0.245,0.269,0.293,0.309,0.318
Final energy,Electricity,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,0.175,0.202,0.228,0.254,0.276,0.298,0.316
Final energy,Electricity,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,0.192,0.229,0.258,0.285,0.314,0.327,0.346
Final energy,Electricity,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,0.175,0.195,0.216,0.23,0.246,0.272,0.298
Final energy,Electricity,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,0.169,0.189,0.206,0.221,0.236,0.257,0.277
Final energy,Electricity,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,0.168,0.188,0.206,0.228,0.246,0.271,0.298
Final energy,Electricity,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,0.17,0.19,0.209,0.223,0.238,0.26,0.287
Final energy,Electricity,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,0.171,0.19,0.204,0.213,0.228,0.245,0.251
Final energy,Electricity,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,0.17,0.188,0.208,0.223,0.237,0.256,0.277
Final energy,Electricity,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,0.184,0.206,0.229,0.251,0.273,0.301,0.326
Final energy,Electricity,REMIND-MAgPIE,Below 2°C,EJ/yr,0.184,0.219,0.252,0.283,0.305,0.322,0.334
Final energy,Electricity,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,0.183,0.217,0.253,0.287,0.312,0.327,0.336
Final energy,Electricity,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,0.181,0.215,0.25,0.287,0.303,0.328,0.35
Final energy,Electricity,REMIND-MAgPIE,Fragmented World,EJ/yr,0.182,0.216,0.252,0.285,0.307,0.32,0.33
