titles 2,tdClass,tdClass href,tdClass 2,tdClass href 2,tdClass 3,tdClass href 3,tdClass 4,tdClass href 4,tdClass 5,tdClass href 5,tdClass 6,tdClass href 6,tdClass 7,tdClass href 7,tdClass 8,tdClass href 8,tdClass 9,tdClass href 9,tdClass 10,tdClass href 10,tdClass 11,tdClass href 11,tdClass 12,tdClass href 12
Year 2005,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr112000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 1999,November,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr111999.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2013,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122013.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2012,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122012.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2011,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122011.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2010,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122010.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2009,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122009.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2008,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122008.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2007,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122007.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2006,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122006.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2005,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122005.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2004,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122004.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2003,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122003.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2002,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122002.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2001,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122001.csv,,,,,,,,,,,,,,,,,,,,,,
Year 2000,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr122000.csv,,,,,,,,,,,,,,,,,,,,,,
Year 1999,December,https://www.aqhi.gov.hk/common/api_history/download/hourly/eng/hr121999.csv,,,,,,,,,,,,,,,,,,,,,,
