Unnamed: 0,Property Name,GFA,"IFA
(sq ft)",Unnamed: 3,Car Parking Spaces,"Annual Net 
Passing Income
(HKD Million)","Capitalisation 
Rate","Value as at 
31 March 2024
(HKD Million)","Analysis
Initial 
Yield",MV as % of total ,Property,lat,lon
87,Retail and Car Park within Hong Yat Court,,"7,040",,355,10.2,4.01%,274.2,3.73%,0.15%,Retail and Car Park within Hong Yat Court,22.3103501,114.23455508399748
88,Retail and Car Park within Tong Ming Court,,"21,283",,291,8.3,3.96%,249.1,3.34%,0.14%,Retail and Car Park within Tong Ming Court,22.30898865,114.2562448047644
89,Car Park within Wah Lai Estate,,0,,411,11.5,4.20%,253,4.56%,0.14%,Car Park within Wah Lai Estate,22.2633444,114.23510329501869
90,Retail and Car Park within Tin Wah Estate,,"1,476",,287,11,4.07%,249.4,4.41%,0.14%,Retail and Car Park within Tin Wah Estate,22.2493458,114.1411932
91,Retail and Car Park within Tsui Wan Estate,,"13,631",,182,9.7,4.20%,231.5,4.19%,0.13%,Retail and Car Park within Tsui Wan Estate,22.2633444,114.23510329501869
92,Car Park within Ning Fung Court,,0,,299,10.5,3.80%,256.1,4.12%,0.14%,Car Park within Ning Fung Court,22.2869559,114.1364269
93,Car Park within Wang Fuk Court,,0,,408,8.4,3.70%,208.8,4.04%,0.12%,Car Park within Wang Fuk Court,22.337198700000002,114.18999189900313
94,Car Park within Po Pui Court,,0,,277,8.9,3.90%,216.1,4.12%,0.12%,Car Park within Po Pui Court,22.31702305,114.22799262640464
95,Car Park within Ming Nga Court,,0,,345,7.1,3.60%,192.8,3.70%,0.11%,Car Park within Ming Nga Court,22.450357099999998,114.1760813895803
96,Car Park within Ying Ming Court,,0,,274,7.3,3.90%,204.6,3.55%,0.11%,Car Park within Ying Ming Court,22.325682649999997,114.2568337902253
97,Retail and Car Park within Yan Ming Court,,"7,019",,262,5.4,4.04%,179,3.01%,0.10%,Retail and Car Park within Yan Ming Court,22.486492900000002,114.13955958033341
98,Car Park within Yue On Court,,0,,296,7.3,3.91%,184.2,3.97%,0.10%,Car Park within Yue On Court,22.242659500000002,114.15646832569523
99,Car Park within Tsui Ping South Estate,,"5,275",,229,9.1,4.68%,188,4.85%,0.10%,Car Park within Tsui Ping South Estate,22.31403655,114.22897560302505
100,Car Park within Lai On Estate,,0,,181,9.7,4.40%,205.8,4.72%,0.11%,Car Park within Lai On Estate,22.3519179,114.12686862750277
101,Retail and Car Park within Nam Cheong Estate,,"8,112",,156,6.8,4.05%,169.7,4.01%,0.09%,Retail and Car Park within Nam Cheong Estate,22.32799,114.15389
102,Retail and Car Park within Tsz Oi Court,,"13,306",,199,5.9,4.39%,166.2,3.55%,0.09%,Retail and Car Park within Tsz Oi Court,22.2869559,114.1364269
103,Retail and Car Park within Sau Mau Ping (III) Estate,,"1,507",,205,7.1,4.22%,158.9,4.47%,0.09%,Retail and Car Park within Sau Mau Ping (III) Estate,22.322167049999997,114.2307396504059
104,Car Park within Upper Ngau Tau Kok Estate,,0,,228,7.9,4.40%,165.5,4.75%,0.09%,Car Park within Upper Ngau Tau Kok Estate,22.319361800000003,114.21640533809848
105,Retail and Car Park within Lok Nga Court,,"12,616",,265,5.6,3.78%,151.5,3.73%,0.08%,Retail and Car Park within Lok Nga Court,22.318340300000003,114.22109013372305
106,Car Park within Sau Mau Ping (I) Estate,,0,,395,6.6,3.60%,176.1,3.76%,0.10%,Car Park within Sau Mau Ping (I) Estate,22.322167049999997,114.2307396504059
107,Car Park within Kam On Court,,0,,238,5.6,3.90%,139.9,3.98%,0.08%,Car Park within Kam On Court,22.38218345,114.23188814718789
108,Car Park within Ching Wang Court,,0,,179,6.2,3.90%,156.8,3.96%,0.09%,Car Park within Ching Wang Court,22.337198700000002,114.18999189900313
109,Car Park within Yee Kok Court,,0,,240,6.4,3.70%,162.7,3.92%,0.09%,Car Park within Yee Kok Court,22.318340300000003,114.22109013372305
110,Retail and Car Park within Ying Fuk Court,,786,,163,6.5,4.21%,147.3,4.39%,0.08%,Retail and Car Park within Ying Fuk Court,22.325682649999997,114.2568337902253
111,Car Park within San Wai Court,,0,,185,5.8,3.90%,132.5,4.35%,0.07%,Car Park within San Wai Court,22.277273649999998,114.1348871548611
112,Car Park within Tin Yau Court,,0,,192,5.4,3.90%,133.3,4.08%,0.07%,Car Park within Tin Yau Court,22.3015271,114.24035810270419
113,Car Park within Yee Nga Court,,0,,159,4.6,3.70%,123.7,3.70%,0.07%,Car Park within Yee Nga Court,22.318340300000003,114.22109013372305
114,Car Park within King Lai Court,,0,,158,3.9,3.80%,110.7,3.53%,0.06%,Car Park within King Lai Court,22.3519179,114.12686862750277
115,Car Park within Fung Lai Court,,0,,134,3.6,3.70%,97.3,3.72%,0.05%,Car Park within Fung Lai Court,22.2869559,114.1364269
116,Retail and Car Park within Hung Hom Estate,,"3,994",,45,3.1,4.04%,83.5,3.73%,0.05%,Retail and Car Park within Hung Hom Estate,22.437686,113.998575
117,Retail and Car Park within Tin Wang Court,,"9,946",,79,2.5,4.05%,70.4,3.59%,0.04%,Retail and Car Park within Tin Wang Court,22.38398825,114.20261507381865
118,Car Park within Hong Keung Court,,0,,93,4.1,4.30%,93.4,4.37%,0.05%,Car Park within Hong Keung Court,22.4999678,114.21040034588862
119,Retail and Car Park within Hong Shui Court,,345,,102,2.5,3.92%,68.6,3.66%,0.04%,Retail and Car Park within Hong Shui Court,22.2869559,114.1364269
120,Car Park within Kwai Hong Court,,0,,88,2.9,4.10%,75.4,3.91%,0.04%,Car Park within Kwai Hong Court,22.3633165,114.13035774694339
121,Car Park within Pang Ching Court,,0,,67,1.7,4.30%,44.3,3.92%,0.02%,Car Park within Pang Ching Court,22.3142849,114.24010159911361
122,Car Park within Lower Wong Tai Sin (I) Estate,,0,,70,1.6,3.70%,41.8,3.88%,0.02%,Car Park within Lower Wong Tai Sin (I) Estate,22.3400936,114.19319228030304
123,Car Park within Chuk Yuen (North) Estate,,0,,61,1.3,4.70%,28.9,4.38%,0.02%,Car Park within Chuk Yuen (North) Estate,22.46347385,114.00723816197524
124,Retail and Car Park within Ko Yee Estate,,0,,38,1.1,3.65%,25.8,4.23%,0.01%,Retail and Car Park within Ko Yee Estate,22.296659050000002,114.2415685176457
125,The Quayside,"8,83,127",,,,,,"8,039.50",,4.44%,The Quayside,22.31654,114.21366
126,"700 Nathan Road, Mong Kok ","1,73,333",,,,,,"3,511.40",,1.94%,"700 Nathan Road, Mong Kok ",22.3205775,114.16944406002004
127,Hung Hom Car Service Centre,"4,21,401",,,,,,"2,960.00",,1.64%,Hung Hom Car Service Centre,22.305605649999997,114.18559884240159
128,Chai Wan Car Service Centre,"4,38,351",,,,,,"2,570.00",,1.42%,Chai Wan Car Service Centre,22.28262475,114.17306881279578
129,"Off Anderson Road Development Site
(SD3 Lot 1078)","1,39,243",,,,,,804,,0.44%,"Off Anderson Road Development Site
(SD3 Lot 1078)",22.32036267,114.2396076
130,,,,,,,,,,100.00%,,,
